productid,brand,name,price,socket,clockspeed,cache,cores,threads,iGPU,imageURL
CPU001,Intel,Intel Core i3-12100 12th Gen Alder Lake Processor,11500,LGA1700,3.30 GHz Up to 4.30 GHz,12MB,4,8,Yes,https://www.startech.com.bd/image/cache/catalog/processor/intel/i3-12100/i3-12100-228x228.jpg
CPU002,Intel,Intel Core i5-12400F 12th Gen Alder Lake Processor,12500,LGA1700,2.50 GHz Up to 4.40 GHz,18MB,6,12,No,https://www.startech.com.bd/image/cache/catalog/processor/intel/i5-12400/i5-12400-001-228x228.jpg
CPU003,Intel,Intel Core i5-12500 12th Gen Alder Lake Processor,18500,LGA1700,3.00 GHz Up to 4.60 GHz,18MB,6,12,Yes,https://www.startech.com.bd/image/cache/catalog/processor/intel/i5-12500/i5-12500-01-228x228.jpg
CPU004,Intel,Intel Core i5-12600K 12th Gen Alder Lake Processor,25000,LGA1700,2.8 GHz Up to 4.9 GHz,20MB,10,16,Yes,https://www.startech.com.bd/image/cache/catalog/processor/intel/i5-12600k/i5-12600k-01-228x228.jpg
CPU005,Intel,Intel Core i7-12700K 12th Gen Alder Lake Processor,30200,LGA1700,3.60 GHz Up to 5.0 GHz,25MB,12,20,Yes,https://www.startech.com.bd/image/cache/catalog/processor/intel/i7-12700k/i7-12700k-01-228x228.jpg
CPU006,Intel,Intel Core Ultra 5 245K Arrow Lake Processor,33500,LGA1851,3.6 GHz up to 5.2GHz,24 MB,14,14,Yes,https://www.startech.com.bd/image/cache/catalog/processor/intel/core-ultra-5-245k/intel-core-ultra-5-245k-processor-228x228.webp
CPU007,Intel,Intel Core Ultra 7 265K Arrow Lake Processor,40500,LGA1851,3.3GHz up to 5.5GHz,30 MB,20,20,Yes,https://www.startech.com.bd/image/cache/catalog/processor/intel/core-ultra-7-265k/intel-core-ultra-7-265k-processor-228x228.webp
CPU008,Intel,Intel Core Ultra 9 285K Arrow Lake Processor,70500,LGA1851,3.2GHz up to 5.7GHz,36 MB,24,24,Yes,https://www.startech.com.bd/image/cache/catalog/processor/intel/core-ultra-9-285k/intel-core-ultra-9-285k-processor-228x228.webp
CPU009,AMD,AMD Ryzen 5 8400F Processor,11000,AM5,3.8GHz Up to 5.1GHz,3.8GHz Up to 5.1GHz,6,12,No,https://www.startech.com.bd/image/cache/catalog/processor/amd/ryzen-5-8400f/ryzen-5-8400f-01-228x228.webp
CPU010,AMD,AMD Ryzen 5 7400F Processor,14800,AM5,3.7GHz Up to 4.7GHz,"L2 Cache: 6MB, L3 Cache: 32MB",6,12,No,https://www.startech.com.bd/image/cache/catalog/processor/amd/ryzen-5-7400f/ryzen-5-7400f-228x228.webp
